sample_id,run_accession,sample_accession,forward,reverse,Picogreen,Negative,Exp_ID,Replicate,Treatment,CopyNum,CopyNum_norm,HH,Tot,HH_norm
01,SRR17347566,SAMN24423815,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347566__01_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347566__01_2.fastq.gz,116.4606637,FALSE,1.564,1,CL,2023472874,598438713,4797,79,60.72151899
02,SRR17347485,SAMN24423816,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347485__02_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347485__02_2.fastq.gz,106.200003,FALSE,1.44,1,CL,1327310812,448792233,7083,79,89.65822785
03,SRR17347494,SAMN24423817,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347494__03_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347494__03_2.fastq.gz,135.1636402,FALSE,1.43,1,CL,642972176,207187203,6177,79,78.18987342
04,SRR17347415,SAMN24423818,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347415__04_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347415__04_2.fastq.gz,48.9567727,FALSE,1.158,1,CL,588598421,380415245,6702,79,84.83544304
05,SRR17347587,SAMN24423819,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347587__05_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347587__05_2.fastq.gz,112.4213403,FALSE,1.244,1,CL,1250272782,319229290,3509,79,44.41772152
06,SRR17347675,SAMN24423820,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347675__06_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347675__06_2.fastq.gz,82.24980259,FALSE,1.242,1,CL,4987766509,1133196670,2336,79,29.56962025
07,SRR17347661,SAMN24423821,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347661__07_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347661__07_2.fastq.gz,79.90760114,FALSE,1.347,1,CL,677287861,293514093,4112,79,52.05063291
08,SRR17347541,SAMN24423822,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347541__08_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347541__08_2.fastq.gz,66.13147355,FALSE,1.353,1,CL,653826110,566507378,5260,79,66.58227848
09,SRR17347666,SAMN24423823,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347666__09_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347666__09_2.fastq.gz,135.4017568,FALSE,1.139,1,CL,1905303070,487281975,4123,79,52.18987342
10,SRR17347652,SAMN24423824,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347652__10_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347652__10_2.fastq.gz,81.70429911,FALSE,1.575,1,CL,4367851024,991095751,1763,79,22.3164557
105,SRR17347479,SAMN24423919,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347479__105_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347479__105_2.fastq.gz,0.086587854,TRUE,blank5,5,blank,NA,NA,NA,NA,NA
11,SRR17347484,SAMN24423825,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347484__11_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347484__11_2.fastq.gz,147.7881493,FALSE,2.113,1,MD,297933439,38149180,3617,82,44.1097561
12,SRR17347646,SAMN24423826,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347646__12_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347646__12_2.fastq.gz,5.745104118,FALSE,2.665,1,MD,1649042,2454303,5257,82,64.1097561
126,SRR17347728,SAMN24423940,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347728__126_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347728__126_2.fastq.gz,0.342022024,TRUE,blank6,6,blank,NA,NA,NA,NA,NA
13,SRR17347518,SAMN24423827,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347518__13_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347518__13_2.fastq.gz,140.4541581,FALSE,2.207,1,MD,112433629,165618068,23,82,0.280487805
14,SRR17347475,SAMN24423828,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347475__14_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347475__14_2.fastq.gz,2.645258942,FALSE,2.42,1,MD,1770092,2777208,2739,82,33.40243902
147,SRR17347513,SAMN24423961,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347513__147_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347513__147_2.fastq.gz,0.333363238,TRUE,blank7,7,blank,NA,NA,NA,NA,NA
15,SRR17347637,SAMN24423829,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347637__15_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347637__15_2.fastq.gz,75.92023045,FALSE,2.394,1,MD,207119875,71683588,5374,82,65.53658537
16,SRR17347469,SAMN24423830,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347469__16_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347469__16_2.fastq.gz,39.44509692,FALSE,2.245,1,MD,54246290,92338209,3983,82,48.57317073
168,SRR17347458,SAMN24423982,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347458__168_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347458__168_2.fastq.gz,0.419951092,TRUE,blank8,8,blank,NA,NA,NA,NA,NA
17,SRR17347722,SAMN24423831,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347722__17_1.fastq.gz,Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347722__17_2.fastq.gz,136.6269749,FALSE,2.217,1,MD,1460165347,562132923,66,82,0.804878049
