BioProject: PRJNA792398
Metadata file: Data/Metadata/GutMicrobiota_BeeTracking_metadata__TutorialSubset.csv
Raw FASTQ directory: Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw
Symlink directory: Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset
Samplesheet: Data/PRJNA792398__06.03.2026/samplesheet__TutorialSubset.csv
Generated at: 2026-03-06 14:46:20 CET

Total BioProject runs: 330
Runs matched to metadata Sample_ID: 33
Runs excluded (not in metadata): 297

Columns:
sample_id	run_accession	sample_accession	raw_r1	raw_r2	symlink_r1	symlink_r2
01	SRR17347566	SAMN24423815	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347566_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347566_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347566__01_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347566__01_2.fastq.gz
02	SRR17347485	SAMN24423816	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347485_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347485_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347485__02_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347485__02_2.fastq.gz
03	SRR17347494	SAMN24423817	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347494_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347494_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347494__03_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347494__03_2.fastq.gz
04	SRR17347415	SAMN24423818	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347415_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347415_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347415__04_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347415__04_2.fastq.gz
05	SRR17347587	SAMN24423819	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347587_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347587_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347587__05_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347587__05_2.fastq.gz
06	SRR17347675	SAMN24423820	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347675_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347675_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347675__06_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347675__06_2.fastq.gz
07	SRR17347661	SAMN24423821	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347661_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347661_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347661__07_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347661__07_2.fastq.gz
08	SRR17347541	SAMN24423822	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347541_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347541_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347541__08_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347541__08_2.fastq.gz
09	SRR17347666	SAMN24423823	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347666_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347666_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347666__09_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347666__09_2.fastq.gz
10	SRR17347652	SAMN24423824	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347652_1.fastq.gz	/Volumes/s-genev-liberti/users/Sieler/Projects/MicrobiotaWorkshop_2026/Data/PRJNA792398__06.03.2026/FASTQs/fastq_raw/SRR17347652_2.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347652__10_1.fastq.gz	Data/PRJNA792398__06.03.2026/FASTQs/fastq_symlinks__TutorialSubset/SRR17347652__10_2.fastq.gz
