"chunk","started_at","finished_at","elapsed_sec","status"
"setup","2026-03-06 15:44:19","2026-03-06 15:44:19",0.2,"OK"
"load-libraries-part1","2026-03-06 15:44:19","2026-03-06 15:44:29",9.71,"OK"
"list-input-files","2026-03-06 15:44:29","2026-03-06 15:44:29",0.26,"OK"
"quality-profiles","2026-03-06 15:44:29","2026-03-06 15:45:19",50.42,"OK"
"define-primers","2026-03-06 15:45:19","2026-03-06 15:45:19",0.01,"OK"
"check-primers","2026-03-06 15:45:19","2026-03-06 15:45:22",2.51,"OK"
"filter-and-trim","2026-03-06 15:45:22","2026-03-06 15:45:22",0.58,"OK"
"verify-primer-removal","2026-03-06 15:45:22","2026-03-06 15:45:22",0.04,"OK"
"learn-errors","2026-03-06 15:45:22","2026-03-06 15:45:23",0.12,"OK"
"plot-errors","2026-03-06 15:45:23","2026-03-06 15:45:24",0.98,"OK"
"denoise-and-merge","2026-03-06 15:45:24","2026-03-06 15:45:24",0.73,"OK"
"sequence-table","2026-03-06 15:45:24","2026-03-06 15:45:24",0.04,"OK"
"length-filter","2026-03-06 15:45:24","2026-03-06 15:45:24",0.01,"OK"
"chimera-removal","2026-03-06 15:45:24","2026-03-06 15:45:24",0.03,"OK"
"tracking-table","2026-03-06 15:45:24","2026-03-06 15:45:25",0.83,"OK"
"assign-taxonomy","2026-03-06 15:45:25","2026-03-06 15:45:25",0.31,"OK"
"build-initial-phyloseq","2026-03-06 15:45:25","2026-03-06 15:45:26",0.08,"OK"
"remove-low-depth","2026-03-06 15:45:26","2026-03-06 15:45:26",0.24,"OK"
"decontam-example","2026-03-06 15:45:26","2026-03-06 15:45:26",0.01,"OK"
"mock-community-qc-optional","2026-03-06 15:45:26","2026-03-06 15:45:26",0.01,"OK"
"taxa-filtering-pipeline","2026-03-06 15:45:26","2026-03-06 15:45:26",0.19,"OK"
"add-metadata","2026-03-06 15:45:26","2026-03-06 15:45:26",0.09,"OK"
"set-part2-figure-path","2026-03-06 15:45:26","2026-03-06 15:45:26",0.01,"OK"
"load-libraries-part2","2026-03-06 15:45:26","2026-03-06 15:45:26",0.21,"OK"
"sequencing-depth","2026-03-06 15:45:26","2026-03-06 15:45:27",0.23,"OK"
"composition-barplot-relative","2026-03-06 15:45:27","2026-03-06 15:45:27",0.9,"OK"
"composition-barplot-absolute","2026-03-06 15:45:27","2026-03-06 15:45:28",0.74,"OK"
"alpha-diversity","2026-03-06 15:45:28","2026-03-06 15:45:29",0.86,"OK"
"alpha-stats","2026-03-06 15:45:29","2026-03-06 15:45:29",0.02,"OK"
"alpha-pairwise","2026-03-06 15:45:29","2026-03-06 15:45:30",0.46,"OK"
"pcoa-ordination","2026-03-06 15:45:30","2026-03-06 15:45:30",0.74,"OK"
"permanova","2026-03-06 15:45:30","2026-03-06 15:45:31",0.49,"OK"
"betadisper","2026-03-06 15:45:31","2026-03-06 15:45:31",0.1,"OK"
"beta-interpretation","2026-03-06 15:45:31","2026-03-06 15:45:31",0.02,"OK"
"da-setup","2026-03-06 15:45:31","2026-03-06 15:45:31",0.04,"OK"
"da-deseq2","2026-03-06 15:45:31","2026-03-06 15:45:34",3.44,"OK"
"da-visualization","2026-03-06 15:45:34","2026-03-06 15:45:37",2.22,"OK"
"da-heatmap","2026-03-06 15:45:37","2026-03-06 15:45:37",0.54,"OK"
