"","reads.in","reads.out"
"SRR17347566_1.fastq.gz",61973,51986
"SRR17347485_1.fastq.gz",61385,53273
"SRR17347494_1.fastq.gz",57466,49204
"SRR17347415_1.fastq.gz",158018,131749
"SRR17347587_1.fastq.gz",58593,49830
"SRR17347675_1.fastq.gz",92202,76117
"SRR17347661_1.fastq.gz",125859,103599
"SRR17347541_1.fastq.gz",136138,117109
"SRR17347666_1.fastq.gz",76403,63463
"SRR17347652_1.fastq.gz",54061,47260
"SRR17347479_1.fastq.gz",29113,21552
"SRR17347484_1.fastq.gz",32239,28634
"SRR17347646_1.fastq.gz",26632,22944
"SRR17347728_1.fastq.gz",14554,9777
"SRR17347518_1.fastq.gz",50701,44961
"SRR17347475_1.fastq.gz",37242,31537
"SRR17347513_1.fastq.gz",24913,18681
"SRR17347637_1.fastq.gz",58641,51472
"SRR17347469_1.fastq.gz",105621,91672
"SRR17347458_1.fastq.gz",31883,23185
"SRR17347722_1.fastq.gz",44286,38778
"SRR17347455_1.fastq.gz",28116,24723
"SRR17347632_1.fastq.gz",20492,14564
"SRR17347452_1.fastq.gz",18202,16177
"SRR17347630_1.fastq.gz",25553,22175
"SRR17347717_1.fastq.gz",30529,23897
"SRR17347548_1.fastq.gz",49582,37372
"SRR17347586_1.fastq.gz",19694,14995
"SRR17347662_1.fastq.gz",9716,7156
"SRR17347629_1.fastq.gz",23448,17311
"SRR17347501_1.fastq.gz",53549,41568
"SRR17347628_1.fastq.gz",461,315
"SRR17347631_1.fastq.gz",101115,88706
