"taxon","Family","Genus","log2FoldChange","lfcSE","p_value","p_adj"
"ASV1","Acetobacteraceae","Bombella",20.1506797154216,1.21848651211177,1.97141238729946e-61,6.89994335554812e-60
"ASV6","Lactobacillaceae","Lactobacillus",-13.3475582571386,1.21347873078226,3.84611533274072e-28,6.73070183229626e-27
"ASV10","Lactobacillaceae","Lactobacillus",-11.6134776730112,1.0687106420046,1.65896636055859e-27,1.93546075398502e-26
"ASV4","Bifidobacteriaceae","Bifidobacterium",-8.78288676267636,0.974186094609996,1.95768916035834e-19,1.71297801531355e-18
"ASV11","Lactobacillaceae","Bombilactobacillus",-7.7614919442707,1.24925523990456,5.20171279168432e-10,3.64119895417902e-09
"ASV12","Acetobacteraceae","Bombella",-8.61044078621704,1.42176403317564,1.39403056704821e-09,7.85909592588769e-09
"ASV19","Lactobacillaceae","Lactobacillus",-9.1121713420817,1.50943260618697,1.57181918517754e-09,7.85909592588769e-09
"ASV32","Lactobacillaceae","Lactobacillus",-8.508689024763,1.48617881490669,1.03304557792104e-08,4.51957440340455e-08
"ASV3","Lactobacillaceae","Apilactobacillus",7.03293346403766,1.29768968104874,5.97391045502656e-08,2.32318739917699e-07
"ASV2","Lactobacillaceae","Lactobacillus",-7.18622997656998,1.34479038345795,9.10407361390964e-08,3.18642576486838e-07
"ASV13","Acetobacteraceae","Commensalibacter",-8.55884739740749,1.67846472430218,3.41070453479663e-07,9.94788822649016e-07
"ASV33","Lactobacillaceae","Bombilactobacillus",-7.78499804754901,1.52305735108096,3.19732618162067e-07,9.94788822649016e-07
"ASV14","Lactobacillaceae","Bombilactobacillus",-6.00134454914686,1.20848274521223,6.83423477829645e-07,1.83998628646443e-06
"ASV5","Comamonadaceae","Curvibacter",7.45111752960855,1.53846748101466,1.27759623681094e-06,3.19399059202734e-06
"ASV7","Neisseriaceae","Snodgrassella",-11.0592147665222,2.5448450949781,1.38811967559343e-05,3.23894590971801e-05
"ASV25","Xanthobacteraceae","Bradyrhizobium",9.07005196069853,2.29190372452696,7.57600077333943e-05,0.0001657250169168
"ASV15","Moraxellaceae","Acinetobacter",8.72031600426552,2.34933289194757,0.000205769048163955,0.000423642157984612
"ASV9","Lactobacillaceae","Lactobacillus",-5.49356518466186,1.50227717531595,0.00025535828741869,0.000496530003314119
"ASV8","Orbaceae","Frischella",-7.47375300800308,2.08777724651072,0.000343902650975131,0.000633504883375242
"ASV16","Chitinophagaceae","Sediminibacterium",7.8641541778107,2.39958606397453,0.00104806377424518,0.00183411160492907
"ASV43","Lactobacillaceae","Bombilactobacillus",-6.68678416786811,2.07734680353327,0.00128680644140141,0.00214467740233569
"ASV23","Staphylococcaceae","Aliicoccus",8.22467400586583,2.5871810691616,0.0014777908830773,0.00235103095035024
"ASV45","Bifidobacteriaceae","Bifidobacterium",-6.69383467358145,2.28582773252364,0.00340703384264891,0.00518461671707443
"ASV22","Rhizobiaceae","Bartonella",-5.54114353937643,2.06817814820005,0.00737897058524893,0.0104031236780625
"ASV31","Burkholderiaceae","Ralstonia",7.06380128303871,2.64932925209736,0.00767002911599118,0.0104031236780625
"ASV50","Lactobacillaceae","Bombilactobacillus",-6.31597489563056,2.37110480383251,0.00772803473227498,0.0104031236780625
"ASV51","Staphylococcaceae","Staphylococcus",7.5001700959342,2.96481828777426,0.0114152489093163,0.014797544882447
"ASV126","Morganellaceae","Arsenophonus",5.26603810527832,2.20739989849926,0.0170499227846044,0.0213124034807555
"ASV34","Sphingomonadaceae","Sphingomonas",6.15004703564862,2.70966012337719,0.0232273273784919,0.0280329813188695
"ASV48","Chitinophagaceae","Vibrionimonas",6.39033247749691,2.89517067139164,0.0272973939302614,0.0318469595853049
"ASV41","Burkholderiaceae","Limnobacter",5.89568694018576,2.92542667375135,0.0438705559698716,0.0495312728692098
